Timestamp,Point,Day of Week,Out_of_Office,Presurvey,Weekly_Survey,Before_Game_Baseline,In_Game_Baseline,Energy
2019-01-21 11:00:00,0.0014023780822753904,1,0,4.82,2.09,27.247948717948717,212.03696295910086,243.8760711514253
2019-01-21 12:00:00,0.0,1,0,4.82,2.09,28.968846038461532,126.73893164987487,185.28625662280086
2019-01-21 13:00:00,9.999987602233887,1,0,4.82,2.09,26.78608985897436,234.81398573309247,164.31279803022542
2019-01-21 14:00:00,10.0,1,0,4.82,2.09,26.64153858974359,388.20477500883,355.158867547591
2019-01-21 15:00:00,0.0,1,0,4.82,2.09,27.686538461538454,380.7977507383805,349.288938189682
2019-01-21 16:00:00,0.0,1,0,4.82,2.09,29.074935897435893,296.16561797852074,268.7794759814725
2019-01-21 17:00:00,10.0,1,0,4.82,2.09,30.39,162.51054696855218,61.18288370356508
2019-01-22 08:00:00,9.970766067504883,5,0,4.82,2.09,9.958076923076923,45.608983073752306,66.71930877875499
2019-01-22 09:00:00,0.0,5,0,4.82,2.09,14.314487166666664,136.83331465961157,123.86942242638577
2019-01-22 10:00:00,10.0,5,0,4.82,2.09,32.51307691025641,102.46468387428465,98.45198544351416
2019-01-22 11:00:00,0.02925252914428712,5,0,4.82,2.09,30.210126666666664,193.43437154324496,282.1940676062877
2019-01-22 12:00:00,0.0,5,0,4.82,2.09,33.25846307692308,73.83533528845473,229.8981831494217
2019-01-22 13:00:00,10.0,5,0,4.82,2.09,28.521539615384626,232.67790304918705,199.2837486355973
2019-01-22 14:00:00,10.0,5,0,4.82,2.09,28.508714230769233,360.66357022668166,409.61487624043633
2019-01-22 15:00:00,0.0,5,0,4.82,2.09,34.019105,327.90293910035575,435.5233405926672
2019-01-22 16:00:00,0.0,5,0,4.82,2.09,32.231666794871806,306.0063794055252,311.7275029800198
2019-01-22 17:00:00,0.0025725364685058594,5,0,4.82,2.09,32.26346153846155,115.36780235863785,163.53877533128957
2019-01-23 08:00:00,0.19742679595947266,6,0,4.82,2.09,10.682692269358972,10.775752104806442,49.60131886847745
2019-01-23 09:00:00,0.0,6,0,4.82,2.09,13.772820499999998,54.00063855106644,115.64914484241864
