Time Around Treatment,Treatment Number,Date,Day of Week,Hour,WorkGroup,Desk,TotalEnergy,Desk_Indicator,NetEnergy,Name,Deviation,Treatment0,Treatment1,Treatment2,Weekend_Indicator,Treatment_Indicator,cTAT,TreatmentArray,LoginCount,DurationCount
3,1,2018-08-01,Wednesday,18.0,WORKGROUP-01,DESK-3,16.69,13,1.8500000000000014,Ken,169.93,A,A,B,0,0,-1,A,11.0,35.0
3,1,2018-08-01,Wednesday,19.0,WORKGROUP-01,DESK-3,70.76,13,54.07000000000001,Ken,169.93,A,A,B,0,0,-1,A,11.0,35.0
3,1,2018-08-01,Wednesday,20.0,WORKGROUP-01,DESK-3,126.32,13,55.55999999999999,Ken,169.93,A,A,B,0,0,-1,A,11.0,35.0
3,1,2018-08-01,Wednesday,21.0,WORKGROUP-01,DESK-3,216.1,13,89.78,Ken,169.93,A,A,B,0,0,-1,A,11.0,35.0
3,1,2018-08-01,Wednesday,22.0,WORKGROUP-01,DESK-3,229.7,13,13.599999999999994,Ken,169.93,A,A,B,0,0,-1,A,11.0,35.0
3,1,2018-08-01,Wednesday,23.0,WORKGROUP-01,DESK-3,262.16,13,32.460000000000036,Ken,169.93,A,A,B,0,0,-1,A,11.0,35.0
4,1,2018-08-02,Thursday,0.0,WORKGROUP-01,DESK-3,263.08,13,0.9199999999999591,Ken,169.93,A,A,B,0,1,0,A,3.0,6.0
4,1,2018-08-02,Thursday,1.0,WORKGROUP-01,DESK-3,264.0,13,0.9200000000000159,Ken,169.93,A,A,B,0,1,0,A,3.0,6.0
4,1,2018-08-02,Thursday,2.0,WORKGROUP-01,DESK-3,264.93,13,0.9300000000000068,Ken,169.93,A,A,B,0,1,0,A,3.0,6.0
4,1,2018-08-02,Thursday,3.0,WORKGROUP-01,DESK-3,264.93,13,0.0,Ken,169.93,A,A,B,0,1,0,A,3.0,6.0
4,1,2018-08-02,Thursday,4.0,WORKGROUP-01,DESK-3,359.34,13,94.40999999999997,Ken,169.93,A,A,B,0,1,0,A,3.0,6.0
4,1,2018-08-02,Thursday,5.0,WORKGROUP-01,DESK-3,359.34,13,0.0,Ken,169.93,A,A,B,0,1,0,A,3.0,6.0
4,1,2018-08-02,Thursday,6.0,WORKGROUP-01,DESK-3,359.34,13,0.0,Ken,169.93,A,A,B,0,1,0,A,3.0,6.0
4,1,2018-08-02,Thursday,7.0,WORKGROUP-01,DESK-3,359.34,13,0.0,Ken,169.93,A,A,B,0,1,0,A,3.0,6.0
4,1,2018-08-02,Thursday,8.0,WORKGROUP-01,DESK-3,359.34,13,0.0,Ken,169.93,A,A,B,0,1,0,A,3.0,6.0
4,1,2018-08-02,Thursday,9.0,WORKGROUP-01,DESK-3,0.0,13,0.0,Ken,169.93,A,A,B,0,1,0,A,3.0,6.0
4,1,2018-08-02,Thursday,10.0,WORKGROUP-01,DESK-3,0.0,13,0.0,Ken,169.93,A,A,B,0,1,0,A,3.0,6.0
4,1,2018-08-02,Thursday,11.0,WORKGROUP-01,DESK-3,0.0,13,0.0,Ken,169.93,A,A,B,0,1,0,A,3.0,6.0
4,1,2018-08-02,Thursday,12.0,WORKGROUP-01,DESK-3,0.0,13,0.0,Ken,169.93,A,A,B,0,1,0,A,3.0,6.0
4,1,2018-08-02,Thursday,13.0,WORKGROUP-01,DESK-3,0.02,13,0.02,Ken,169.93,A,A,B,0,1,0,A,3.0,6.0
4,1,2018-08-02,Thursday,14.0,WORKGROUP-01,DESK-3,0.02,13,0.0,Ken,169.93,A,A,B,0,1,0,A,3.0,6.0
4,1,2018-08-02,Thursday,15.0,WORKGROUP-01,DESK-3,0.02,13,0.0,Ken,169.93,A,A,B,0,1,0,A,3.0,6.0
4,1,2018-08-02,Thursday,16.0,WORKGROUP-01,DESK-3,0.02,13,0.0,Ken,169.93,A,A,B,0,1,0,A,3.0,6.0
4,1,2018-08-02,Thursday,17.0,WORKGROUP-01,DESK-3,0.02,13,0.0,Ken,169.93,A,A,B,0,1,0,A,3.0,6.0
4,1,2018-08-02,Thursday,18.0,WORKGROUP-01,DESK-3,0.02,13,0.0,Ken,169.93,A,A,B,0,1,0,A,3.0,6.0
4,1,2018-08-02,Thursday,19.0,WORKGROUP-01,DESK-3,87.35,13,87.33,Ken,169.93,A,A,B,0,1,0,A,3.0,6.0
4,1,2018-08-02,Thursday,20.0,WORKGROUP-01,DESK-3,103.11,13,15.760000000000005,Ken,169.93,A,A,B,0,1,0,A,3.0,6.0
4,1,2018-08-02,Thursday,21.0,WORKGROUP-01,DESK-3,103.11,13,0.0,Ken,169.93,A,A,B,0,1,0,A,3.0,6.0
4,1,2018-08-02,Thursday,22.0,WORKGROUP-01,DESK-3,117.78,13,14.670000000000002,Ken,169.93,A,A,B,0,1,0,A,3.0,6.0
4,1,2018-08-02,Thursday,23.0,WORKGROUP-01,DESK-3,130.39,13,12.609999999999985,Ken,169.93,A,A,B,0,1,0,A,3.0,6.0
5,1,2018-08-03,Friday,0.0,WORKGROUP-01,DESK-3,134.88,13,4.490000000000009,Ken,169.93,A,A,B,0,1,1,A,4.0,6.0
5,1,2018-08-03,Friday,1.0,WORKGROUP-01,DESK-3,170.88,13,36.0,Ken,169.93,A,A,B,0,1,1,A,4.0,6.0
5,1,2018-08-03,Friday,2.0,WORKGROUP-01,DESK-3,181.61,13,10.730000000000018,Ken,169.93,A,A,B,0,1,1,A,4.0,6.0
5,1,2018-08-03,Friday,3.0,WORKGROUP-01,DESK-3,191.88,13,10.269999999999982,Ken,169.93,A,A,B,0,1,1,A,4.0,6.0
5,1,2018-08-03,Friday,4.0,WORKGROUP-01,DESK-3,225.33,13,33.45000000000002,Ken,169.93,A,A,B,0,1,1,A,4.0,6.0
5,1,2018-08-03,Friday,5.0,WORKGROUP-01,DESK-3,225.33,13,0.0,Ken,169.93,A,A,B,0,1,1,A,4.0,6.0
5,1,2018-08-03,Friday,6.0,WORKGROUP-01,DESK-3,225.33,13,0.0,Ken,169.93,A,A,B,0,1,1,A,4.0,6.0
5,1,2018-08-03,Friday,7.0,WORKGROUP-01,DESK-3,225.33,13,0.0,Ken,169.93,A,A,B,0,1,1,A,4.0,6.0
5,1,2018-08-03,Friday,8.0,WORKGROUP-01,DESK-3,225.33,13,0.0,Ken,169.93,A,A,B,0,1,1,A,4.0,6.0
5,1,2018-08-03,Friday,9.0,WORKGROUP-01,DESK-3,0.0,13,0.0,Ken,169.93,A,A,B,0,1,1,A,4.0,6.0
5,1,2018-08-03,Friday,10.0,WORKGROUP-01,DESK-3,0.0,13,0.0,Ken,169.93,A,A,B,0,1,1,A,4.0,6.0
5,1,2018-08-03,Friday,11.0,WORKGROUP-01,DESK-3,0.0,13,0.0,Ken,169.93,A,A,B,0,1,1,A,4.0,6.0
5,1,2018-08-03,Friday,12.0,WORKGROUP-01,DESK-3,0.0,13,0.0,Ken,169.93,A,A,B,0,1,1,A,4.0,6.0
5,1,2018-08-03,Friday,13.0,WORKGROUP-01,DESK-3,0.06,13,0.06,Ken,169.93,A,A,B,0,1,1,A,4.0,6.0
5,1,2018-08-03,Friday,14.0,WORKGROUP-01,DESK-3,0.06,13,0.0,Ken,169.93,A,A,B,0,1,1,A,4.0,6.0
5,1,2018-08-03,Friday,15.0,WORKGROUP-01,DESK-3,0.06,13,0.0,Ken,169.93,A,A,B,0,1,1,A,4.0,6.0
5,1,2018-08-03,Friday,16.0,WORKGROUP-01,DESK-3,0.06,13,0.0,Ken,169.93,A,A,B,0,1,1,A,4.0,6.0
5,1,2018-08-03,Friday,17.0,WORKGROUP-01,DESK-3,0.06,13,0.0,Ken,169.93,A,A,B,0,1,1,A,4.0,6.0
5,1,2018-08-03,Friday,18.0,WORKGROUP-01,DESK-3,1.08,13,1.02,Ken,169.93,A,A,B,0,1,1,A,4.0,6.0
5,1,2018-08-03,Friday,19.0,WORKGROUP-01,DESK-3,1.08,13,0.0,Ken,169.93,A,A,B,0,1,1,A,4.0,6.0
5,1,2018-08-03,Friday,20.0,WORKGROUP-01,DESK-3,1.35,13,0.27,Ken,169.93,A,A,B,0,1,1,A,4.0,6.0
5,1,2018-08-03,Friday,21.0,WORKGROUP-01,DESK-3,1.35,13,0.0,Ken,169.93,A,A,B,0,1,1,A,4.0,6.0
5,1,2018-08-03,Friday,22.0,WORKGROUP-01,DESK-3,1.35,13,0.0,Ken,169.93,A,A,B,0,1,1,A,4.0,6.0
5,1,2018-08-03,Friday,23.0,WORKGROUP-01,DESK-3,1.35,13,0.0,Ken,169.93,A,A,B,0,1,1,A,4.0,6.0
6,1,2018-08-04,Saturday,0.0,WORKGROUP-01,DESK-3,1.37,13,0.020000000000000018,Ken,169.93,A,A,B,1,1,2,A,,
6,1,2018-08-04,Saturday,1.0,WORKGROUP-01,DESK-3,1.37,13,0.0,Ken,169.93,A,A,B,1,1,2,A,,
6,1,2018-08-04,Saturday,2.0,WORKGROUP-01,DESK-3,1.37,13,0.0,Ken,169.93,A,A,B,1,1,2,A,,
6,1,2018-08-04,Saturday,3.0,WORKGROUP-01,DESK-3,1.37,13,0.0,Ken,169.93,A,A,B,1,1,2,A,,
6,1,2018-08-04,Saturday,4.0,WORKGROUP-01,DESK-3,1.39,13,0.019999999999999796,Ken,169.93,A,A,B,1,1,2,A,,
6,1,2018-08-04,Saturday,5.0,WORKGROUP-01,DESK-3,1.39,13,0.0,Ken,169.93,A,A,B,1,1,2,A,,
6,1,2018-08-04,Saturday,6.0,WORKGROUP-01,DESK-3,1.39,13,0.0,Ken,169.93,A,A,B,1,1,2,A,,
6,1,2018-08-04,Saturday,7.0,WORKGROUP-01,DESK-3,1.39,13,0.0,Ken,169.93,A,A,B,1,1,2,A,,
6,1,2018-08-04,Saturday,8.0,WORKGROUP-01,DESK-3,1.39,13,0.0,Ken,169.93,A,A,B,1,1,2,A,,
6,1,2018-08-04,Saturday,9.0,WORKGROUP-01,DESK-3,0.0,13,0.0,Ken,169.93,A,A,B,1,1,2,A,,
6,1,2018-08-04,Saturday,10.0,WORKGROUP-01,DESK-3,0.0,13,0.0,Ken,169.93,A,A,B,1,1,2,A,,
6,1,2018-08-04,Saturday,11.0,WORKGROUP-01,DESK-3,0.0,13,0.0,Ken,169.93,A,A,B,1,1,2,A,,
6,1,2018-08-04,Saturday,12.0,WORKGROUP-01,DESK-3,0.0,13,0.0,Ken,169.93,A,A,B,1,1,2,A,,
6,1,2018-08-04,Saturday,13.0,WORKGROUP-01,DESK-3,0.0,13,0.0,Ken,169.93,A,A,B,1,1,2,A,,
6,1,2018-08-04,Saturday,14.0,WORKGROUP-01,DESK-3,0.0,13,0.0,Ken,169.93,A,A,B,1,1,2,A,,
6,1,2018-08-04,Saturday,15.0,WORKGROUP-01,DESK-3,0.02,13,0.02,Ken,169.93,A,A,B,1,1,2,A,,
6,1,2018-08-04,Saturday,16.0,WORKGROUP-01,DESK-3,0.02,13,0.0,Ken,169.93,A,A,B,1,1,2,A,,
6,1,2018-08-04,Saturday,17.0,WORKGROUP-01,DESK-3,0.02,13,0.0,Ken,169.93,A,A,B,1,1,2,A,,
