,Hour,Point,Energy
260,0,2.5805959701538086,95.0
261,1,2.9149155616760254,120.0
262,2,2.4132118225097656,200.0
263,3,2.0936849117279053,210.0
264,4,2.3500349521636963,180.0
265,5,2.4660279750823975,250.0
266,6,2.0850448608398438,365.0
267,7,2.71720290184021,310.0
268,8,2.287029981613159,220.0
269,9,1.9874520301818848,140.0
270,0,1.1981215476989746,95.0
271,1,2.2239325046539307,120.0
272,2,2.3401224613189697,200.0
273,3,1.0756416320800781,210.0
274,4,2.7058722972869873,180.0
275,5,1.6677665710449219,250.0
276,6,1.5451810359954834,365.0
277,7,1.198807954788208,310.0
278,8,1.0889620780944824,220.0
279,9,1.5080368518829346,140.0
280,0,1.3298606872558594,95.0
281,1,1.846921682357788,120.0
282,2,1.6324777603149414,200.0
283,3,1.649886131286621,210.0
284,4,2.8550662994384766,180.0
285,5,1.466268539428711,250.0
286,6,1.0700101852416992,365.0
287,7,0.9779305458068848,310.0
288,8,1.1248931884765625,220.0
289,9,1.5940446853637695,140.0
290,0,1.5304040908813477,95.0
291,1,1.5331220626831055,120.0
292,2,1.4311859607696533,200.0
293,3,2.1333794593811035,210.0
294,4,2.3716962337493896,180.0
295,5,1.4330041408538818,250.0
296,6,1.518493890762329,365.0
297,7,2.2982070446014404,310.0
298,8,2.6424899101257324,220.0
299,9,2.6094536781311035,140.0
